timestamp,ip,method,path,status,bytes,user_agent
2026-09-06 16:01:54,103.21.65.90,GET,/security,200,19692,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-07 19:27:32,103.21.75.74,GET,/student-portal/,200,14261,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-05 16:51:01,103.21.62.1,GET,/health,200,24004,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-02 15:30:56,103.21.143.108,GET,/s3,200,18379,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-05 16:42:19,103.21.118.37,GET,/health,200,7136,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-02 19:00:02,103.21.88.23,POST,/student-portal/,400,15791,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-01 18:35:42,103.21.116.3,GET,/security,200,14867,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-07 15:11:27,103.21.143.138,GET,/s3,304,3667,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-04 18:26:09,103.21.31.82,GET,/,200,3221,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-07 12:39:02,103.21.181.184,GET,/s3,200,5571,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-07 13:37:36,103.21.75.74,GET,/monitoring,200,4799,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-02 08:42:10,103.21.209.229,POST,/architecture,200,6945,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-01 01:06:24,103.21.221.244,GET,/s3,301,1338,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-03 13:19:28,103.21.143.108,GET,/student-portal/,200,6094,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-05 16:13:27,103.21.174.81,GET,/monitoring,200,2777,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-02 04:41:58,103.21.132.166,POST,/student-portal/,200,21499,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-01 15:43:56,103.21.201.147,POST,/about,200,5012,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-03 17:11:24,103.21.132.164,POST,/architecture,200,11774,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-07 12:31:49,103.21.97.191,GET,/security,200,16295,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-07 09:50:33,103.21.210.26,GET,/health,200,3551,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-07 17:26:34,103.21.197.126,GET,/architecture,200,18915,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-05 09:45:17,103.21.151.113,POST,/projects,200,3824,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-01 09:27:10,103.21.221.244,GET,/s3,200,21146,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-07 15:17:37,103.21.27.227,GET,/student-portal/,200,8892,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-07 01:55:57,103.21.29.74,GET,/student-portal/,200,8207,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-05 13:06:43,103.21.54.102,GET,/health,200,21953,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-02 20:20:38,103.21.88.23,GET,/student-portal/,200,22994,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-03 19:43:59,103.21.251.238,GET,/student-portal/,200,24597,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-03 19:18:44,103.21.116.3,GET,/projects,200,19689,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-05 16:21:12,103.21.221.244,GET,/about,200,1722,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-06 16:38:41,103.21.209.229,GET,/architecture,200,14108,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-06 14:49:26,103.21.62.1,GET,/about,200,24003,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-02 19:50:09,103.21.129.244,GET,/projects,200,9144,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-01 10:40:37,103.21.197.126,POST,/,200,9190,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-03 17:48:47,103.21.221.244,GET,/monitoring,200,2410,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-06 17:55:09,103.21.92.207,GET,/student-portal/,200,9536,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-04 19:23:22,103.21.88.23,POST,/health,200,22566,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-02 11:40:26,103.21.75.74,GET,/student-portal/,200,17645,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-01 18:40:11,103.21.209.229,GET,/monitoring,200,23919,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-02 23:01:34,103.21.209.229,POST,/,200,17427,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-02 21:06:05,103.21.251.238,GET,/monitoring,200,24660,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-05 10:18:18,103.21.116.3,GET,/,200,24977,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-04 19:41:30,103.21.54.102,POST,/about,201,5871,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/140.0
2026-09-06 19:32:42,103.21.31.82,GET,/,200,17936,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-01 16:15:08,103.21.176.126,GET,/,200,2896,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-01 12:19:41,103.21.54.102,GET,/student-portal/,200,17504,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-04 19:43:52,103.21.54.102,GET,/,404,10724,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-03 18:14:10,103.21.132.164,POST,/monitoring,200,22030,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-07 14:11:12,103.21.88.23,GET,/contact,304,13925,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-05 11:28:47,103.21.201.147,GET,/projects,200,10986,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-02 19:28:16,103.21.181.184,GET,/projects,400,9278,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
2026-09-04 16:40:25,103.21.129.244,POST,/s3,200,22755,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-07 20:54:40,103.21.181.184,POST,/about,200,13599,Mozilla/5.0 (X11; Linux x86_64) Chrome/140.0
2026-09-03 01:35:44,103.21.201.147,GET,/monitoring,200,16095,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) Safari/605.1
2026-09-02 14:02:48,103.21.143.108,GET,/projects,200,15479,Mozilla/5.0 (Linux; Android 15) Chrome/140.0 Mobile
